Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,
2024,Jawa Barat,5,DPR,,,,Partai Kebangkitan Nusantara,9,"6,371",,
2024,Jawa Barat,5,DPR,,,,Partai Hati Nurani Rakyat,10,"13,706",,
2024,Jawa Barat,5,DPR,,,,Partai Garda Republik Indonesia ,11,"8,287",,
2024,Jawa Barat,5,DPR,,,,Partai Amanat Nasional,12,"228,732",1,
2024,Jawa Barat,5,DPR,,,,Partai Bulan Bintang,13,"12,594",,
2024,Jawa Barat,5,DPR,,,,Partai Demokrat ,14,"178,680",1,
2024,Jawa Barat,5,DPR,,,,Partai Solidaritas Indonesia ,15,"101,286",,
2024,Jawa Barat,5,DPR,,,,Partai Perindo,16,"38,234",,
2024,Jawa Barat,5,DPR,,,,Partai Persatuan Pembangunan,17,"168,963",,
2024,Jawa Barat,5,DPR,,,,Partai Ummat,24,"13,717",,
2024,Jawa Barat,6,DPR,"3,202,856","2,418,493","194,522",,,,,
2024,Jawa Barat,6,DPR,,,,Partai Kebangkitan Bangsa,1,"225,497",1,
2024,Jawa Barat,6,DPR,,,,Partai Gerakan Indonesia Raya,2,"268,517",1,
2024,Jawa Barat,6,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"258,038",1,
2024,Jawa Barat,6,DPR,,,,Partai Golongan Karya,4,"421,352",1,
2024,Jawa Barat,6,DPR,,,,Partai Nasdem,5,"124,304",,
2024,Jawa Barat,6,DPR,,,,Partai Buruh,6,"32,425",,
2024,Jawa Barat,6,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"19,535",,
2024,Jawa Barat,6,DPR,,,,Partai Keadilan Sejahtera,8,"538,235",2,
2024,Jawa Barat,6,DPR,,,,Partai Kebangkitan Nusantara,9,"4,991",,
2024,Jawa Barat,6,DPR,,,,Partai Hati Nurani Rakyat,10,"5,370",,
2024,Jawa Barat,6,DPR,,,,Partai Garda Republik Indonesia ,11,"4,701",,
2024,Jawa Barat,6,DPR,,,,Partai Amanat Nasional,12,"168,637",,
2024,Jawa Barat,6,DPR,,,,Partai Bulan Bintang,13,"5,872",,
2024,Jawa Barat,6,DPR,,,,Partai Demokrat ,14,"131,986",,
2024,Jawa Barat,6,DPR,,,,Partai Solidaritas Indonesia ,15,"125,305",,
2024,Jawa Barat,6,DPR,,,,Partai Perindo,16,"29,846",,
2024,Jawa Barat,6,DPR,,,,Partai Persatuan Pembangunan,17,"36,746",,
2024,Jawa Barat,6,DPR,,,,Partai Ummat,24,"17,136",,
2024,Jawa Barat,7,DPR,"4,713,343","3,475,014","475,403",,,,,
2024,Jawa Barat,7,DPR,,,,Partai Kebangkitan Bangsa,1,"230,565",1,
2024,Jawa Barat,7,DPR,,,,Partai Gerakan Indonesia Raya,2,"790,738",3,
2024,Jawa Barat,7,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"360,294",1,
2024,Jawa Barat,7,DPR,,,,Partai Golongan Karya,4,"449,435",1,
2024,Jawa Barat,7,DPR,,,,Partai Nasdem,5,"228,966",1,
2024,Jawa Barat,7,DPR,,,,Partai Buruh,6,"100,056",,
2024,Jawa Barat,7,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"27,486",,
2024,Jawa Barat,7,DPR,,,,Partai Keadilan Sejahtera,8,"441,897",1,
2024,Jawa Barat,7,DPR,,,,Partai Kebangkitan Nusantara,9,"4,969",,
2024,Jawa Barat,7,DPR,,,,Partai Hati Nurani Rakyat,10,"11,405",,
2024,Jawa Barat,7,DPR,,,,Partai Garda Republik Indonesia ,11,"8,779",,
2024,Jawa Barat,7,DPR,,,,Partai Amanat Nasional,12,"223,754",1,
2024,Jawa Barat,7,DPR,,,,Partai Bulan Bintang,13,"17,300",,
2024,Jawa Barat,7,DPR,,,,Partai Demokrat ,14,"339,372",1,
2024,Jawa Barat,7,DPR,,,,Partai Solidaritas Indonesia ,15,"108,979",,
2024,Jawa Barat,7,DPR,,,,Partai Perindo,16,"33,666",,
2024,Jawa Barat,7,DPR,,,,Partai Persatuan Pembangunan,17,"84,324",,
2024,Jawa Barat,7,DPR,,,,Partai Ummat,24,"13,029",,
2024,Jawa Barat,8,DPR,"3,360,658","2,302,787","354,121",,,,,
2024,Jawa Barat,8,DPR,,,,Partai Kebangkitan Bangsa,1,"291,699",1,
2024,Jawa Barat,8,DPR,,,,Partai Gerakan Indonesia Raya,2,"292,781",1,
2024,Jawa Barat,8,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"419,402",2,
2024,Jawa Barat,8,DPR,,,,Partai Golongan Karya,4,"422,739",2,
2024,Jawa Barat,8,DPR,,,,Partai Nasdem,5,"165,284",1,
2024,Jawa Barat,8,DPR,,,,Partai Buruh,6,"16,865",,
2024,Jawa Barat,8,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"26,405",,
2024,Jawa Barat,8,DPR,,,,Partai Keadilan Sejahtera,8,"156,344",1,
2024,Jawa Barat,8,DPR,,,,Partai Kebangkitan Nusantara,9,"3,976",,
2024,Jawa Barat,8,DPR,,,,Partai Hati Nurani Rakyat,10,"22,009",,
2024,Jawa Barat,8,DPR,,,,Partai Garda Republik Indonesia ,11,"4,622",,
2024,Jawa Barat,8,DPR,,,,Partai Amanat Nasional,12,"115,249",,
2024,Jawa Barat,8,DPR,,,,Partai Bulan Bintang,13,"3,255",,
2024,Jawa Barat,8,DPR,,,,Partai Demokrat ,14,"146,581",1,
2024,Jawa Barat,8,DPR,,,,Partai Solidaritas Indonesia ,15,"90,316",,
2024,Jawa Barat,8,DPR,,,,Partai Perindo,16,"24,746",,
2024,Jawa Barat,8,DPR,,,,Partai Persatuan Pembangunan,17,"95,800",,
2024,Jawa Barat,8,DPR,,,,Partai Ummat,24,"4,714",,
,Jawa Barat,9,DPR,"3,088,907","2,294,128","304,532",,,,,
2024,Jawa Barat,9,DPR,,,,Partai Kebangkitan Bangsa,1,"200,544",1,
2024,Jawa Barat,9,DPR,,,,Partai Gerakan Indonesia Raya,2,"320,803",1,
2024,Jawa Barat,9,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"319,052",1,
2024,Jawa Barat,9,DPR,,,,Partai Golongan Karya,4,"450,542",2,
2024,Jawa Barat,9,DPR,,,,Partai Nasdem,5,"116,758",1,
2024,Jawa Barat,9,DPR,,,,Partai Buruh,6,"16,691",,
2024,Jawa Barat,9,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"16,460",,
2024,Jawa Barat,9,DPR,,,,Partai Keadilan Sejahtera,8,"274,751",1,
2024,Jawa Barat,9,DPR,,,,Partai Kebangkitan Nusantara,9,"2,563",,
2024,Jawa Barat,9,DPR,,,,Partai Hati Nurani Rakyat,10,"5,255",,
2024,Jawa Barat,9,DPR,,,,Partai Garda Republik Indonesia ,11,"5,022",,
2024,Jawa Barat,9,DPR,,,,Partai Amanat Nasional,12,"229,865",1,
2024,Jawa Barat,9,DPR,,,,Partai Bulan Bintang,13,"4,264",,
2024,Jawa Barat,9,DPR,,,,Partai Demokrat ,14,"101,591",,
2024,Jawa Barat,9,DPR,,,,Partai Solidaritas Indonesia ,15,"32,270",,
2024,Jawa Barat,9,DPR,,,,Partai Perindo,16,"15,825",,
2024,Jawa Barat,9,DPR,,,,Partai Persatuan Pembangunan,17,"175,482",,
2024,Jawa Barat,9,DPR,,,,Partai Ummat,24,"6,390",,
2024,Jawa Barat,10,DPR,"2,348,025","1,700,313","164,830",,,,,
2024,Jawa Barat,10,DPR,,,,Partai Kebangkitan Bangsa,1,"204,226",1,
2024,Jawa Barat,10,DPR,,,,Partai Gerakan Indonesia Raya,2,"283,073",1,
2024,Jawa Barat,10,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"288,655",1,
2024,Jawa Barat,10,DPR,,,,Partai Golongan Karya,4,"226,303",1,
2024,Jawa Barat,10,DPR,,,,Partai Nasdem,5,"119,358",1,
2024,Jawa Barat,10,DPR,,,,Partai Buruh,6,"7,836",,
2024,Jawa Barat,10,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"10,780",,
2024,Jawa Barat,10,DPR,,,,Partai Keadilan Sejahtera,8,"181,578",1,
2024,Jawa Barat,10,DPR,,,,Partai Kebangkitan Nusantara,9,"2,305",,
2024,Jawa Barat,10,DPR,,,,Partai Hati Nurani Rakyat,10,"4,403",,
2024,Jawa Barat,10,DPR,,,,Partai Garda Republik Indonesia ,11,"3,367",,
2024,Jawa Barat,10,DPR,,,,Partai Amanat Nasional,12,"119,489",1,
2024,Jawa Barat,10,DPR,,,,Partai Bulan Bintang,13,"5,575",,
2024,Jawa Barat,10,DPR,,,,Partai Demokrat ,14,"98,254",,
2024,Jawa Barat,10,DPR,,,,Partai Solidaritas Indonesia ,15,"20,423",,
2024,Jawa Barat,10,DPR,,,,Partai Perindo,16,"7,205",,
2024,Jawa Barat,10,DPR,,,,Partai Persatuan Pembangunan,17,"112,192",,
2024,Jawa Barat,10,DPR,,,,Partai Ummat,24,"5,291",,
2024,Jawa Barat,11,DPR,"3,960,862","2,927,998","299,018",,,,,
2024,Jawa Barat,11,DPR,,,,Partai Kebangkitan Bangsa,1,"468,301",2,
2024,Jawa Barat,11,DPR,,,,Partai Gerakan Indonesia Raya,2,"513,282",2,
2024,Jawa Barat,11,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"266,289",1,
2024,Jawa Barat,11,DPR,,,,Partai Golongan Karya,4,"473,093",2,
2024,Jawa Barat,11,DPR,,,,Partai Nasdem,5,"149,753",1,
2024,Jawa Barat,11,DPR,,,,Partai Buruh,6,"15,495",,
2024,Jawa Barat,11,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"19,567",,
2024,Jawa Barat,11,DPR,,,,Partai Keadilan Sejahtera,8,"304,184",1,
2024,Jawa Barat,11,DPR,,,,Partai Kebangkitan Nusantara,9,"3,730",,
2024,Jawa Barat,11,DPR,,,,Partai Hati Nurani Rakyat,10,"11,372",,
2024,Jawa Barat,11,DPR,,,,Partai Garda Republik Indonesia ,11,"8,402",,
2024,Jawa Barat,11,DPR,,,,Partai Amanat Nasional,12,"211,089",1,
2024,Jawa Barat,11,DPR,,,,Partai Bulan Bintang,13,"15,950",,
2024,Jawa Barat,11,DPR,,,,Partai Demokrat ,14,"119,270",,
2024,Jawa Barat,11,DPR,,,,Partai Solidaritas Indonesia ,15,"40,026",,
2024,Jawa Barat,11,DPR,,,,Partai Perindo,16,"19,566",,
2024,Jawa Barat,11,DPR,,,,Partai Persatuan Pembangunan,17,"271,085",,
2024,Jawa Barat,11,DPR,,,,Partai Ummat,24,"17,544",,
,Jawa Tengah,1,DPR,"2,985,146","2,279,759","299,431",,,,,
2024,Jawa Tengah,1,DPR,,,,Partai Kebangkitan Bangsa,1,"205,278",1,
2024,Jawa Tengah,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"201,312",1,
2024,Jawa Tengah,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"646,141",2,
2024,Jawa Tengah,1,DPR,,,,Partai Golongan Karya,4,"243,630",1,
2024,Jawa Tengah,1,DPR,,,,Partai Nasdem,5,"129,797",1,
2024,Jawa Tengah,1,DPR,,,,Partai Buruh,6,"15,835",,
2024,Jawa Tengah,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"22,880",,
2024,Jawa Tengah,1,DPR,,,,Partai Keadilan Sejahtera,8,"218,171",1,
2024,Jawa Tengah,1,DPR,,,,Partai Kebangkitan Nusantara,9,"2,627",,
2024,Jawa Tengah,1,DPR,,,,Partai Hati Nurani Rakyat,10,"14,045",,
2024,Jawa Tengah,1,DPR,,,,Partai Garda Republik Indonesia ,11,"5,164",,
2024,Jawa Tengah,1,DPR,,,,Partai Amanat Nasional,12,"126,422",,
2024,Jawa Tengah,1,DPR,,,,Partai Bulan Bintang,13,"3,436",,
2024,Jawa Tengah,1,DPR,,,,Partai Demokrat ,14,"176,626",1,
2024,Jawa Tengah,1,DPR,,,,Partai Solidaritas Indonesia ,15,"120,203",,
2024,Jawa Tengah,1,DPR,,,,Partai Perindo,16,"27,254",,
2024,Jawa Tengah,1,DPR,,,,Partai Persatuan Pembangunan,17,"111,330",,
2024,Jawa Tengah,1,DPR,,,,Partai Ummat,24,"9,608",,
2024,Jawa Tengah,2,DPR,"2,454,563","1,886,780","234,546",,,,,
2024,Jawa Tengah,2,DPR,,,,Partai Kebangkitan Bangsa,1,"257,110",1,
2024,Jawa Tengah,2,DPR,,,,Partai Gerakan Indonesia Raya,2,"148,023",1,
2024,Jawa Tengah,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"321,034",2,
2024,Jawa Tengah,2,DPR,,,,Partai Golongan Karya,4,"470,328",2,
2024,Jawa Tengah,2,DPR,,,,Partai Nasdem,5,"203,402",1,
2024,Jawa Tengah,2,DPR,,,,Partai Buruh,6,"6,278",,
2024,Jawa Tengah,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"11,457",,
2024,Jawa Tengah,2,DPR,,,,Partai Keadilan Sejahtera,8,"35,390",,
2024,Jawa Tengah,2,DPR,,,,Partai Kebangkitan Nusantara,9,"1,695",,
2024,Jawa Tengah,2,DPR,,,,Partai Hati Nurani Rakyat,10,"17,479",,
2024,Jawa Tengah,2,DPR,,,,Partai Garda Republik Indonesia ,11,"4,635",,
2024,Jawa Tengah,2,DPR,,,,Partai Amanat Nasional,12,"78,639",,
2024,Jawa Tengah,2,DPR,,,,Partai Bulan Bintang,13,"2,291",,
2024,Jawa Tengah,2,DPR,,,,Partai Demokrat ,14,"94,082",,
2024,Jawa Tengah,2,DPR,,,,Partai Solidaritas Indonesia ,15,"52,217",,
2024,Jawa Tengah,2,DPR,,,,Partai Perindo,16,"18,586",,
2024,Jawa Tengah,2,DPR,,,,Partai Persatuan Pembangunan,17,"158,051",,
2024,Jawa Tengah,2,DPR,,,,Partai Ummat,24,"6,083",,
2024,Jawa Tengah,3,DPR,"3,366,140","2,483,747","334,542",,,,,
2024,Jawa Tengah,3,DPR,,,,Partai Kebangkitan Bangsa,1,"358,137",2,
2024,Jawa Tengah,3,DPR,,,,Partai Gerakan Indonesia Raya,2,"301,276",1,
2024,Jawa Tengah,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"713,535",3,
2024,Jawa Tengah,3,DPR,,,,Partai Golongan Karya,4,"186,492",1,
2024,Jawa Tengah,3,DPR,,,,Partai Nasdem,5,"145,125",1,
2024,Jawa Tengah,3,DPR,,,,Partai Buruh,6,"11,819",,
2024,Jawa Tengah,3,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"23,192",,
2024,Jawa Tengah,3,DPR,,,,Partai Keadilan Sejahtera,8,"86,429",,
2024,Jawa Tengah,3,DPR,,,,Partai Kebangkitan Nusantara,9,"4,945",,
2024,Jawa Tengah,3,DPR,,,,Partai Hati Nurani Rakyat,10,"83,500",,
2024,Jawa Tengah,3,DPR,,,,Partai Garda Republik Indonesia ,11,"6,174",,
2024,Jawa Tengah,3,DPR,,,,Partai Amanat Nasional,12,"77,141",,
2024,Jawa Tengah,3,DPR,,,,Partai Bulan Bintang,13,"3,614",,
2024,Jawa Tengah,3,DPR,,,,Partai Demokrat ,14,"250,517",1,
2024,Jawa Tengah,3,DPR,,,,Partai Solidaritas Indonesia ,15,"72,601",,
2024,Jawa Tengah,3,DPR,,,,Partai Perindo,16,"14,568",,
2024,Jawa Tengah,3,DPR,,,,Partai Persatuan Pembangunan,17,"138,933",,
2024,Jawa Tengah,3,DPR,,,,Partai Ummat,24,"5,749",,
2024,Jawa Tengah,4,DPR,"2,313,625","1,799,827","119,531",,,,,
2024,Jawa Tengah,4,DPR,,,,Partai Kebangkitan Bangsa,1,"116,859",,
2024,Jawa Tengah,4,DPR,,,,Partai Gerakan Indonesia Raya,2,"161,751",1,
2024,Jawa Tengah,4,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"707,065",3,
2024,Jawa Tengah,4,DPR,,,,Partai Golongan Karya,4,"222,668",1,
2024,Jawa Tengah,4,DPR,,,,Partai Nasdem,5,"47,924",,
2024,Jawa Tengah,4,DPR,,,,Partai Buruh,6,"6,119",,
2024,Jawa Tengah,4,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"23,120",,
2024,Jawa Tengah,4,DPR,,,,Partai Keadilan Sejahtera,8,"218,788",1,
2024,Jawa Tengah,4,DPR,,,,Partai Kebangkitan Nusantara,9,"1,227",,
2024,Jawa Tengah,4,DPR,,,,Partai Hati Nurani Rakyat,10,"2,012",,
2024,Jawa Tengah,4,DPR,,,,Partai Garda Republik Indonesia ,11,"2,773",,
2024,Jawa Tengah,4,DPR,,,,Partai Amanat Nasional,12,"66,307",,
2024,Jawa Tengah,4,DPR,,,,Partai Bulan Bintang,13,"1,148",,
2024,Jawa Tengah,4,DPR,,,,Partai Demokrat ,14,"180,997",1,
2024,Jawa Tengah,4,DPR,,,,Partai Solidaritas Indonesia ,15,"28,803",,
2024,Jawa Tengah,4,DPR,,,,Partai Perindo,16,"2,917",,
2024,Jawa Tengah,4,DPR,,,,Partai Persatuan Pembangunan,17,"5,563",,
2024,Jawa Tengah,4,DPR,,,,Partai Ummat,24,"3,786",,
,Jawa Tengah,5,DPR,"2,914,733","2,334,065","222,231",,,,,
2024,Jawa Tengah,5,DPR,,,,Partai Kebangkitan Bangsa,1,"132,890",1,
2024,Jawa Tengah,5,DPR,,,,Partai Gerakan Indonesia Raya,2,"302,492",1,
2024,Jawa Tengah,5,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"774,282",3,
2024,Jawa Tengah,5,DPR,,,,Partai Golongan Karya,4,"335,804",1,
2024,Jawa Tengah,5,DPR,,,,Partai Nasdem,5,"123,690",,
2024,Jawa Tengah,5,DPR,,,,Partai Buruh,6,"9,450",,
2024,Jawa Tengah,5,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"9,098",,
2024,Jawa Tengah,5,DPR,,,,Partai Keadilan Sejahtera,8,"197,614",1,
2024,Jawa Tengah,5,DPR,,,,Partai Kebangkitan Nusantara,9,"1,986",,
2024,Jawa Tengah,5,DPR,,,,Partai Hati Nurani Rakyat,10,"3,250",,
2024,Jawa Tengah,5,DPR,,,,Partai Garda Republik Indonesia ,11,"4,303",,
2024,Jawa Tengah,5,DPR,,,,Partai Amanat Nasional,12,"134,135",1,
2024,Jawa Tengah,5,DPR,,,,Partai Bulan Bintang,13,"2,736",,
2024,Jawa Tengah,5,DPR,,,,Partai Demokrat ,14,"130,539",,
2024,Jawa Tengah,5,DPR,,,,Partai Solidaritas Indonesia ,15,"134,249",,
2024,Jawa Tengah,5,DPR,,,,Partai Perindo,16,"9,093",,
2024,Jawa Tengah,5,DPR,,,,Partai Persatuan Pembangunan,17,"16,480",,
2024,Jawa Tengah,5,DPR,,,,Partai Ummat,24,"11,974",,
2024,Jawa Tengah,6,DPR,"3,030,588","2,345,635","273,998",,,,,
2024,Jawa Tengah,6,DPR,,,,Partai Kebangkitan Bangsa,1,"416,270",1,
2024,Jawa Tengah,6,DPR,,,,Partai Gerakan Indonesia Raya,2,"232,962",1,
2024,Jawa Tengah,6,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"702,942",3,
2024,Jawa Tengah,6,DPR,,,,Partai Golongan Karya,4,"218,624",1,
2024,Jawa Tengah,6,DPR,,,,Partai Nasdem,5,"147,372",1,
2024,Jawa Tengah,6,DPR,,,,Partai Buruh,6,"7,576",,
2024,Jawa Tengah,6,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"12,393",,
2024,Jawa Tengah,6,DPR,,,,Partai Keadilan Sejahtera,8,"128,966",,
2024,Jawa Tengah,6,DPR,,,,Partai Kebangkitan Nusantara,9,"2,274",,
2024,Jawa Tengah,6,DPR,,,,Partai Hati Nurani Rakyat,10,"8,078",,
2024,Jawa Tengah,6,DPR,,,,Partai Garda Republik Indonesia ,11,"3,980",,
2024,Jawa Tengah,6,DPR,,,,Partai Amanat Nasional,12,"101,075",,
2024,Jawa Tengah,6,DPR,,,,Partai Bulan Bintang,13,"2,540",,
2024,Jawa Tengah,6,DPR,,,,Partai Demokrat ,14,"165,243",1,
2024,Jawa Tengah,6,DPR,,,,Partai Solidaritas Indonesia ,15,"35,035",,
2024,Jawa Tengah,6,DPR,,,,Partai Perindo,16,"12,804",,
2024,Jawa Tengah,6,DPR,,,,Partai Persatuan Pembangunan,17,"137,168",,
2024,Jawa Tengah,6,DPR,,,,Partai Ummat,24,"10,333",,
2024,Jawa Tengah,7,DPR,"2,642,386","1,821,419","250,716",,,,,
2024,Jawa Tengah,7,DPR,,,,Partai Kebangkitan Bangsa,1,"264,055",1,
2024,Jawa Tengah,7,DPR,,,,Partai Gerakan Indonesia Raya,2,"191,776",1,
2024,Jawa Tengah,7,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"386,049",1,
2024,Jawa Tengah,7,DPR,,,,Partai Golongan Karya,4,"142,402",1,
2024,Jawa Tengah,7,DPR,,,,Partai Nasdem,5,"183,098",1,
2024,Jawa Tengah,7,DPR,,,,Partai Buruh,6,"6,957",,
2024,Jawa Tengah,7,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"13,228",,
2024,Jawa Tengah,7,DPR,,,,Partai Keadilan Sejahtera,8,"189,067",1,
2024,Jawa Tengah,7,DPR,,,,Partai Kebangkitan Nusantara,9,"1,889",,
2024,Jawa Tengah,7,DPR,,,,Partai Hati Nurani Rakyat,10,"4,760",,
2024,Jawa Tengah,7,DPR,,,,Partai Garda Republik Indonesia ,11,"4,062",,
2024,Jawa Tengah,7,DPR,,,,Partai Amanat Nasional,12,"192,846",1,
2024,Jawa Tengah,7,DPR,,,,Partai Bulan Bintang,13,"2,793",,
2024,Jawa Tengah,7,DPR,,,,Partai Demokrat ,14,"124,805",,
2024,Jawa Tengah,7,DPR,,,,Partai Solidaritas Indonesia ,15,"23,271",,
2024,Jawa Tengah,7,DPR,,,,Partai Perindo,16,"15,929",,
2024,Jawa Tengah,7,DPR,,,,Partai Persatuan Pembangunan,17,"67,581",,
2024,Jawa Tengah,7,DPR,,,,Partai Ummat,24,"6,851",,
2024,Jawa Tengah,8,DPR,"2,889,101","2,104,787","168,029",,,,,
2024,Jawa Tengah,8,DPR,,,,Partai Kebangkitan Bangsa,1,"244,505",1,
2024,Jawa Tengah,8,DPR,,,,Partai Gerakan Indonesia Raya,2,"306,230",1,
2024,Jawa Tengah,8,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"569,783",2,
2024,Jawa Tengah,8,DPR,,,,Partai Golongan Karya,4,"228,642",1,
2024,Jawa Tengah,8,DPR,,,,Partai Nasdem,5,"144,166",1,
2024,Jawa Tengah,8,DPR,,,,Partai Buruh,6,"9,761",,
2024,Jawa Tengah,8,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"12,350",,
2024,Jawa Tengah,8,DPR,,,,Partai Keadilan Sejahtera,8,"130,110",1,
2024,Jawa Tengah,8,DPR,,,,Partai Kebangkitan Nusantara,9,"3,332",,
2024,Jawa Tengah,8,DPR,,,,Partai Hati Nurani Rakyat,10,"2,712",,
2024,Jawa Tengah,8,DPR,,,,Partai Garda Republik Indonesia ,11,"4,221",,
2024,Jawa Tengah,8,DPR,,,,Partai Amanat Nasional,12,"116,106",,
2024,Jawa Tengah,8,DPR,,,,Partai Bulan Bintang,13,"2,252",,
2024,Jawa Tengah,8,DPR,,,,Partai Demokrat ,14,"169,229",1,
2024,Jawa Tengah,8,DPR,,,,Partai Solidaritas Indonesia ,15,"48,239",,
2024,Jawa Tengah,8,DPR,,,,Partai Perindo,16,"27,384",,
2024,Jawa Tengah,8,DPR,,,,Partai Persatuan Pembangunan,17,"77,128",,
2024,Jawa Tengah,8,DPR,,,,Partai Ummat,24,"8,637",,
,Jawa Tengah,9,DPR,"2,966,971","1,988,510","252,243",,,,,
2024,Jawa Tengah,9,DPR,,,,Partai Kebangkitan Bangsa,1,"317,038",1,
2024,Jawa Tengah,9,DPR,,,,Partai Gerakan Indonesia Raya,2,"225,887",1,
2024,Jawa Tengah,9,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"691,690",3,
2024,Jawa Tengah,9,DPR,,,,Partai Golongan Karya,4,"191,314",1,
2024,Jawa Tengah,9,DPR,,,,Partai Nasdem,5,"74,183",,
2024,Jawa Tengah,9,DPR,,,,Partai Buruh,6,"6,413",,
2024,Jawa Tengah,9,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"9,615",,
2024,Jawa Tengah,9,DPR,,,,Partai Keadilan Sejahtera,8,"165,936",1,
2024,Jawa Tengah,9,DPR,,,,Partai Kebangkitan Nusantara,9,"1,468",,
2024,Jawa Tengah,9,DPR,,,,Partai Hati Nurani Rakyat,10,"5,394",,
2024,Jawa Tengah,9,DPR,,,,Partai Garda Republik Indonesia ,11,"2,818",,
2024,Jawa Tengah,9,DPR,,,,Partai Amanat Nasional,12,"123,395",1,
2024,Jawa Tengah,9,DPR,,,,Partai Bulan Bintang,13,"2,425",,
2024,Jawa Tengah,9,DPR,,,,Partai Demokrat ,14,"44,967",,
2024,Jawa Tengah,9,DPR,,,,Partai Solidaritas Indonesia ,15,"31,960",,
2024,Jawa Tengah,9,DPR,,,,Partai Perindo,16,"11,728",,
2024,Jawa Tengah,9,DPR,,,,Partai Persatuan Pembangunan,17,"71,907",,
2024,Jawa Tengah,9,DPR,,,,Partai Ummat,24,"10,372",,
2024,Jawa Tengah,10,DPR,"2,726,160","1,900,427","292,063",,,,,
2024,Jawa Tengah,10,DPR,,,,Partai Kebangkitan Bangsa,1,"360,203",1,
2024,Jawa Tengah,10,DPR,,,,Partai Gerakan Indonesia Raya,2,"207,302",1,
2024,Jawa Tengah,10,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"333,972",1,
2024,Jawa Tengah,10,DPR,,,,Partai Golongan Karya,4,"408,679",2,
2024,Jawa Tengah,10,DPR,,,,Partai Nasdem,5,"123,092",1,
2024,Jawa Tengah,10,DPR,,,,Partai Buruh,6,"5,815",,
2024,Jawa Tengah,10,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"11,562",,
2024,Jawa Tengah,10,DPR,,,,Partai Keadilan Sejahtera,8,"122,066",1,
2024,Jawa Tengah,10,DPR,,,,Partai Kebangkitan Nusantara,9,"1,928",,
2024,Jawa Tengah,10,DPR,,,,Partai Hati Nurani Rakyat,10,"5,128",,
2024,Jawa Tengah,10,DPR,,,,Partai Garda Republik Indonesia ,11,"3,187",,
2024,Jawa Tengah,10,DPR,,,,Partai Amanat Nasional,12,"121,128",,
2024,Jawa Tengah,10,DPR,,,,Partai Bulan Bintang,13,"1,898",,
2024,Jawa Tengah,10,DPR,,,,Partai Demokrat ,14,"35,779",,
2024,Jawa Tengah,10,DPR,,,,Partai Solidaritas Indonesia ,15,"34,173",,
2024,Jawa Tengah,10,DPR,,,,Partai Perindo,16,"21,772",,
2024,Jawa Tengah,10,DPR,,,,Partai Persatuan Pembangunan,17,"90,608",,
2024,Jawa Tengah,10,DPR,,,,Partai Ummat,24,"12,135",,
2024,Jawa Timur,1,DPR,"3,680,228","2,577,260","368,643",,,,,
2024,Jawa Timur,1,DPR,,,,Partai Kebangkitan Bangsa,1,"295,884",1,
2024,Jawa Timur,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"543,677",2,
2024,Jawa Timur,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"411,797",2,
2024,Jawa Timur,1,DPR,,,,Partai Golongan Karya,4,"245,453",1,
2024,Jawa Timur,1,DPR,,,,Partai Nasdem,5,"184,168",1,
2024,Jawa Timur,1,DPR,,,,Partai Buruh,6,"23,082",,
